time,gps_sod,dE_m,dN_m,dU_m,d3_m,clock_m,trop_m,n_sat,ph_res_std_m
2024-05-01T00:10:30,767794230.000000,0.1455,-0.1665,0.0863,0.2373,0.0078,-0.0122,9,0.0819
2024-05-01T00:11:00,767794260.000000,0.1641,-0.1126,0.0695,0.2108,-0.0813,0.0144,9,0.0878
2024-05-01T00:11:30,767794290.000000,0.2001,0.0443,0.0094,0.2052,-0.3202,0.0856,9,0.0876
2024-05-01T00:12:00,767794320.000000,0.2297,0.1600,-0.0569,0.2857,-0.4799,0.1233,9,0.0886
2024-05-01T00:12:30,767794350.000000,0.1930,-0.3317,0.1659,0.4181,0.1386,-0.0242,10,0.1298
2024-05-01T00:13:00,767794380.000000,0.1692,-0.3632,0.1585,0.4309,0.1719,-0.0380,9,0.1411
2024-05-01T00:13:30,767794410.000000,-0.1329,-0.5775,0.5410,0.8024,0.7338,-0.1231,8,0.0940
2024-05-01T00:14:00,767794440.000000,2.9109,1.3234,-4.2728,5.3368,-4.5779,0.4141,9,1.3465
2024-05-01T00:14:30,767794470.000000,-0.0754,-0.4824,0.4387,0.6564,0.5571,-0.0804,8,0.0958
2024-05-01T00:15:00,767794500.000000,-0.1037,-0.6213,0.1183,0.6409,0.5004,-0.1247,7,0.0710
2024-05-01T00:15:30,767794530.000000,-0.0751,-0.5886,0.0263,0.5940,0.4235,-0.1121,7,0.0853
2024-05-01T00:16:00,767794560.000000,-0.0410,-0.5594,-0.1032,0.5704,0.3342,-0.1051,7,0.0987
2024-05-01T00:16:30,767794590.000000,-0.0278,-0.5272,-0.1630,0.5525,0.2865,-0.0933,8,0.0957
2024-05-01T00:17:00,767794620.000000,-0.0299,-0.4815,-0.2383,0.5381,0.2170,-0.0818,8,0.0975
2024-05-01T00:17:30,767794650.000000,0.1155,-0.2865,-0.5371,0.6196,-0.0599,-0.0682,9,0.1884
2024-05-01T00:18:00,767794680.000000,0.0975,-0.2427,-0.5883,0.6439,-0.2201,0.0158,8,0.1978
2024-05-01T00:18:30,767794710.000000,0.0585,-0.2001,-0.6347,0.6681,-0.2743,0.0337,8,0.1928
2024-05-01T00:19:00,767794740.000000,0.0332,-0.1465,-0.6919,0.7080,-0.3055,0.0398,8,0.1933
2024-05-01T00:19:30,767794770.000000,0.0216,-0.0864,-0.7939,0.7989,-0.3685,0.0456,8,0.1879
2024-05-01T00:20:00,767794800.000000,0.0324,-0.0132,-1.0910,1.0916,-0.3319,-0.0630,9,0.1937
2024-05-01T00:20:30,767794830.000000,0.0177,0.0745,-1.1410,1.1436,-0.3771,-0.0567,9,0.1912
2024-05-01T00:21:00,767794860.000000,-0.0967,0.1729,-0.6240,0.6547,-0.0687,-0.0730,9,0.2547
2024-05-01T00:21:30,767794890.000000,0.0632,0.3145,-2.3868,2.4083,-1.1695,-0.0156,8,0.2288
2024-05-01T00:22:00,767794920.000000,0.0219,0.3848,-1.7593,1.8011,-0.7953,-0.0283,8,0.2040
2024-05-01T00:22:30,767794950.000000,-0.0482,0.0244,1.8882,1.8889,1.4182,-0.1109,7,0.1212
2024-05-01T00:23:00,767794980.000000,-0.0625,-0.0649,2.3346,2.3363,1.7023,-0.1226,7,0.1289
2024-05-01T00:23:30,767795010.000000,0.0569,0.2253,0.6782,0.7169,0.6795,-0.0574,9,0.1838
2024-05-01T00:24:00,767795040.000000,0.0400,0.2320,0.7634,0.7989,0.7303,-0.0614,9,0.1836
2024-05-01T00:24:30,767795070.000000,0.0005,0.1973,0.9345,0.9551,0.8229,-0.0625,9,0.1747
2024-05-01T00:25:00,767795100.000000,-0.0223,0.1662,1.0727,1.0857,0.8984,-0.0648,9,0.1761
2024-05-01T00:25:30,767795130.000000,-0.0472,0.1121,1.2708,1.2766,1.0015,-0.0612,9,0.1764
2024-05-01T00:26:00,767795160.000000,-0.0686,0.0597,1.4139,1.4168,1.0761,-0.0618,9,0.1876
2024-05-01T00:26:30,767795190.000000,-0.0912,0.0138,1.5112,1.5140,1.1440,-0.0657,9,0.1940
2024-05-01T00:27:00,767795220.000000,-0.1229,-0.0537,1.5974,1.6031,1.1885,-0.0641,9,0.1921
2024-05-01T00:27:30,767795250.000000,-0.1358,-0.1197,1.7127,1.7223,1.2645,-0.0641,9,0.2041
2024-05-01T00:28:00,767795280.000000,-0.1527,-0.2162,1.8696,1.8883,1.3472,-0.0565,10,0.2085
2024-05-01T00:28:30,767795310.000000,-0.1698,-0.3171,1.9697,2.0023,1.4049,-0.0510,10,0.2174
2024-05-01T00:29:00,767795340.000000,-0.3477,-0.4456,1.6181,1.7140,1.0440,-0.0014,9,0.1338
2024-05-01T00:29:30,767795370.000000,-0.9800,-1.0659,-0.4893,1.5284,-1.3497,0.3860,9,0.6554
2024-05-01T00:30:00,767795400.000000,-0.3229,-0.5016,2.2405,2.3185,1.6910,-0.0817,8,0.0794
2024-05-01T00:30:30,767795430.000000,-0.3442,-0.6229,2.3594,2.4644,1.7912,-0.0836,8,0.0799
2024-05-01T00:31:00,767795460.000000,-0.3555,-0.7611,2.4272,2.5685,1.8339,-0.0761,8,0.0940
2024-05-01T00:31:30,767795490.000000,-0.3636,-0.9152,2.6233,2.8020,2.0420,-0.0915,8,0.0931
2024-05-01T00:32:00,767795520.000000,-0.3859,-1.0886,2.7141,2.9497,2.1238,-0.0842,11,0.1032
2024-05-01T00:32:30,767795550.000000,-0.3660,-1.5131,3.9347,4.2315,3.4883,-0.2440,10,0.0390
2024-05-01T00:33:00,767795580.000000,-0.3885,-1.6875,3.8504,4.2218,3.4497,-0.2263,10,0.0367
2024-05-01T00:33:30,767795610.000000,-0.8193,-2.4636,4.2742,5.0009,3.6915,-0.0627,10,0.1262
2024-05-01T00:34:00,767795640.000000,-0.8420,-2.7484,4.3740,5.2340,3.8798,-0.0659,10,0.1282
2024-05-01T00:34:30,767795670.000000,0.0766,-1.8176,3.6073,4.0401,3.6576,-0.4096,10,0.2478
2024-05-01T00:35:00,767795700.000000,-0.5663,-2.9501,4.2331,5.1906,4.1008,-0.1821,9,0.0050
2024-05-01T00:35:30,767795730.000000,-0.5911,-3.1788,4.1764,5.2818,4.1679,-0.1768,9,0.0050
2024-05-01T00:36:00,767795760.000000,-1.3228,-6.2838,-7.3912,9.7911,-7.2190,1.6507,9,0.0084
2024-05-01T00:36:30,767795790.000000,-2.2461,-8.9752,-22.7868,24.5934,-22.1391,3.9699,9,0.0091
2024-05-01T00:37:30,767795850.000000,1.6188,-0.1722,45.7841,45.8130,45.4565,-6.3401,8,0.0059
2024-05-01T00:38:00,767795880.000000,0.6678,-3.2229,30.7789,30.9544,31.0045,-4.0773,8,0.0068
2024-05-01T01:22:00,767798520.000000,8.3385,170.2760,-331.9772,373.1921,-430.3777,116.8169,10,0.0009
2024-05-01T01:22:30,767798550.000000,10.3370,196.8162,-422.1231,465.8663,-538.0606,146.8147,10,0.0011
2024-05-01T01:23:00,767798580.000000,14.6030,251.5756,-596.7034,647.7333,-748.6544,205.0040,10,0.0014
2024-05-01T01:23:30,767798610.000000,26.4315,397.0131,-1047.7788,1120.7847,-1294.4672,354.8048,10,0.0014
2024-05-01T01:24:00,767798640.000000,103.6998,1340.2533,-3970.0756,4191.4834,-4836.8389,1326.4195,11,0.0009
2024-05-01T01:24:30,767798670.000000,-62.2471,-677.9223,2278.1590,2377.7010,2740.0197,-751.0011,11,0.0012
2024-05-01T01:25:00,767798700.000000,-26.2404,-236.2187,913.0353,943.4624,1085.2782,-297.0448,11,0.0013
2024-05-01T01:25:30,767798730.000000,-17.5876,-128.7747,583.1982,597.5051,686.1696,-187.5428,11,0.0013
2024-05-01T01:26:00,767798760.000000,-13.8026,-80.0908,435.6312,443.1474,507.9873,-138.5879,11,0.0014
2024-05-01T01:26:30,767798790.000000,-11.6153,-52.0471,352.2707,356.2842,408.0071,-111.2136,11,0.0013
2024-05-01T01:27:00,767798820.000000,-10.3235,-33.8964,300.0910,302.1757,345.5855,-94.0514,10,0.0013
2024-05-01T01:27:30,767798850.000000,-9.4494,-21.2618,264.7157,265.7362,303.5525,-82.4844,10,0.0012
2024-05-01T01:28:00,767798880.000000,-9.0805,-13.1320,243.8338,244.3560,274.0294,-74.3533,10,0.0013
2024-05-01T01:28:30,767798910.000000,-3.2787,-12.1221,220.2833,220.6409,251.6205,-68.1770,10,0.0013
2024-05-01T01:29:00,767798940.000000,4.1212,-5.2403,31.7242,32.4171,28.6360,-4.0863,11,0.8691
2024-05-01T01:29:30,767798970.000000,4.8771,-5.1164,31.0824,31.8760,28.4456,-4.2088,11,0.8846
2024-05-01T01:30:00,767799000.000000,5.0259,-5.8407,30.9007,31.8469,28.7127,-4.4018,11,0.9008
2024-05-01T01:30:30,767799030.000000,4.9884,-6.7419,30.3468,31.4843,28.7270,-4.5709,11,0.9113
2024-05-01T01:31:00,767799060.000000,4.9343,-7.7624,30.0391,31.4157,29.0262,-4.7913,10,0.9232
2024-05-01T01:31:30,767799090.000000,4.8685,-8.8371,29.7996,31.4613,29.4630,-5.0441,11,0.9350
2024-05-01T01:32:00,767799120.000000,4.8375,-10.0408,29.9563,31.9624,30.3467,-5.3831,11,0.9453
2024-05-01T01:32:30,767799150.000000,4.8391,-11.4163,30.5188,32.9415,31.7114,-5.8231,10,0.9546
2024-05-01T01:33:00,767799180.000000,4.8909,-13.0660,31.6438,34.5828,33.7563,-6.4108,9,0.9667
2024-05-01T01:33:30,767799210.000000,2.8346,-5.8584,9.7691,11.7385,12.0887,-2.4984,10,0.9945
2024-05-01T01:34:00,767799240.000000,2.6368,-5.5584,8.1124,10.1813,10.7675,-2.3374,10,1.0087
2024-05-01T01:34:30,767799270.000000,2.4743,-5.2822,6.7503,8.9213,9.6934,-2.2128,10,1.0284
2024-05-01T01:35:00,767799300.000000,2.3442,-5.0395,5.6706,7.9403,8.8664,-2.1248,10,1.0467
2024-05-01T01:35:30,767799330.000000,2.2283,-4.8375,4.7935,7.1655,8.2330,-2.0739,10,1.0629
2024-05-01T01:36:00,767799360.000000,2.1353,-4.6030,4.0103,6.4676,7.6527,-2.0208,10,1.0853
2024-05-01T01:36:30,767799390.000000,-2.6589,-0.2098,-9.2307,9.6083,-6.4619,-0.3899,9,0.1887
2024-05-01T01:37:00,767799420.000000,-2.7863,0.4178,-9.6561,10.0587,-6.9656,-0.3260,9,0.1708
2024-05-01T01:37:30,767799450.000000,-2.9008,1.0647,-10.0112,10.4773,-7.4250,-0.2676,9,0.1564
2024-05-01T01:38:00,767799480.000000,-3.0656,1.7456,-10.4519,11.0312,-8.0249,-0.1909,9,0.1314
2024-05-01T01:38:30,767799510.000000,0.4197,-6.4926,2.0021,6.8072,6.7843,-2.3329,10,0.8688
2024-05-01T01:39:00,767799540.000000,0.4801,-6.5995,2.0286,6.9209,7.1437,-2.4265,10,0.8978
2024-05-01T01:39:30,767799570.000000,0.4990,-6.7672,1.9961,7.0731,7.4748,-2.5288,11,0.9349
2024-05-01T01:40:00,767799600.000000,-2.6891,-9.1567,-3.1107,10.0375,2.9751,-2.5995,11,1.6621
2024-05-01T01:40:30,767799630.000000,-1.3512,-8.3296,-1.0280,8.5008,5.3652,-2.7194,10,1.3811
2024-05-01T01:41:00,767799660.000000,2.6416,-6.3976,5.2294,8.6749,11.7630,-2.9433,9,0.9400
2024-05-01T01:41:30,767799690.000000,2.8582,-6.8180,5.5514,9.2451,12.5690,-3.1208,9,0.9592
2024-05-01T01:42:00,767799720.000000,3.0954,-7.3442,5.8914,9.9109,13.4818,-3.3283,9,0.9819
2024-05-01T01:42:30,767799750.000000,3.3577,-7.9504,6.2596,10.6614,14.4879,-3.5528,9,1.0050
2024-05-01T01:43:00,767799780.000000,-0.0260,-0.6874,-2.7895,2.8731,0.3415,-0.9528,10,2.3637
2024-05-01T01:43:30,767799810.000000,-0.0441,-0.4733,-2.6077,2.6507,0.2817,-0.8850,10,2.3978
2024-05-01T01:44:00,767799840.000000,-0.0872,-0.2499,-2.4399,2.4542,0.1497,-0.7952,10,2.4325
2024-05-01T01:44:30,767799870.000000,-0.1633,-0.0534,-2.2753,2.2818,-0.0165,-0.6981,10,2.4706
2024-05-01T01:45:00,767799900.000000,-0.3014,0.1631,-2.1433,2.1705,-0.2663,-0.5873,10,2.5174
2024-05-01T01:45:30,767799930.000000,-0.5029,0.4034,-2.0968,2.1937,-0.6568,-0.4440,10,2.5502
2024-05-01T01:46:00,767799960.000000,-0.7032,0.6965,-1.9786,2.2123,-1.0908,-0.2702,10,2.5714
2024-05-01T01:46:30,767799990.000000,-0.9458,1.0192,-1.9097,2.3623,-1.6114,-0.0847,10,2.5842
2024-05-01T01:47:00,767800020.000000,-1.2456,1.3771,-1.8714,2.6363,-2.2377,0.1269,9,2.6055
2024-05-01T01:47:30,767800050.000000,-1.5555,1.7394,-1.8166,2.9572,-2.8643,0.3352,9,2.6052
2024-05-01T01:48:00,767800080.000000,-2.7647,4.3053,3.8295,6.3909,-3.3100,1.9388,8,2.4623
2024-05-01T01:48:30,767800110.000000,-3.0990,4.7279,4.2452,7.0695,-4.0119,2.2172,9,2.3853
2024-05-01T01:49:00,767800140.000000,-3.4145,5.1284,4.6142,7.6974,-4.7112,2.4662,9,2.3038
2024-05-01T01:49:30,767800170.000000,-3.6387,5.4343,4.8933,8.1680,-5.2750,2.6357,9,2.1984
2024-05-01T01:50:00,767800200.000000,-3.8120,5.6929,5.1095,8.5467,-5.7643,2.7491,9,2.0883
2024-05-01T01:50:30,767800230.000000,-3.9353,5.9155,5.3249,8.8789,-6.1371,2.8089,9,1.9597
2024-05-01T01:51:00,767800260.000000,1.4717,1.2503,9.9794,10.1645,2.0660,1.7508,11,1.9508
2024-05-01T01:51:30,767800290.000000,1.6693,0.4723,6.2090,6.4467,0.5611,1.2833,11,2.1054
2024-05-01T01:52:00,767800320.000000,1.8226,1.1406,17.7306,17.8604,5.3063,2.5390,10,1.8148
2024-05-01T01:52:30,767800350.000000,2.0381,0.5243,17.6158,17.7411,5.4112,2.4273,10,1.7716
2024-05-01T01:53:00,767800380.000000,2.2189,-0.0809,17.4003,17.5414,5.4983,2.3035,10,1.7248
2024-05-01T01:53:30,767800410.000000,2.3809,-0.6791,17.2596,17.4363,5.6138,2.1902,9,1.6930
2024-05-01T01:54:00,767800440.000000,2.8146,-0.5516,11.1911,11.5528,3.1446,1.5295,10,1.7264
2024-05-01T01:54:30,767800470.000000,2.9490,-0.9424,11.2635,11.6813,3.3108,1.4689,10,1.6827
2024-05-01T01:55:00,767800500.000000,3.0636,-1.3591,11.3496,11.8341,3.4822,1.4133,10,1.6514
2024-05-01T01:55:30,767800530.000000,3.1783,-1.7679,11.3862,11.9529,3.6486,1.3529,9,1.6165
2024-05-01T01:56:00,767800560.000000,3.2727,-2.1909,11.4210,12.0810,3.8316,1.2877,9,1.5848
2024-05-01T01:56:30,767800590.000000,3.3831,-2.6321,11.4743,12.2488,4.0445,1.2213,10,1.5638
2024-05-01T01:57:00,767800620.000000,2.1955,-2.9705,9.2175,9.9300,2.5091,1.0802,9,1.5916
2024-05-01T01:57:30,767800650.000000,2.2661,-3.3003,9.1747,10.0101,2.6898,1.0082,9,1.5662
2024-05-01T01:58:00,767800680.000000,2.3449,-3.6082,9.0194,9.9934,2.7727,0.9608,9,1.5681
2024-05-01T01:58:30,767800710.000000,2.4929,-3.9568,8.9323,10.0824,2.8582,0.9529,9,1.6059
2024-05-01T01:59:00,767800740.000000,-0.9297,-4.8333,11.4494,12.4625,8.1312,-1.0611,9,1.6606
2024-05-01T01:59:30,767800770.000000,-1.5375,-4.7206,10.0789,11.2353,7.1525,-1.0461,9,1.4637
2024-05-01T02:00:00,767800800.000000,-1.6339,-5.0622,9.6736,11.0396,6.8322,-0.9584,9,1.4586
2024-05-01T02:00:30,767800830.000000,-1.8015,-5.2850,9.3837,10.9193,6.6672,-0.9029,8,1.6005
2024-05-01T02:01:00,767800860.000000,-1.5888,-5.8766,9.0606,10.9157,6.3157,-0.7368,8,1.6240
2024-05-01T02:01:30,767800890.000000,-1.3886,-6.4140,8.7638,10.9486,6.0696,-0.6022,8,1.6424
2024-05-01T02:02:00,767800920.000000,-0.8540,-7.4618,9.4094,12.0393,6.7256,-0.4771,8,1.8736
2024-05-01T02:02:30,767800950.000000,-0.6962,-7.9786,9.0989,12.1216,6.6130,-0.3906,8,1.8883
2024-05-01T02:03:00,767800980.000000,-0.5383,-8.4282,8.7555,12.1649,6.5157,-0.3136,8,1.8907
2024-05-01T02:03:30,767801010.000000,-0.1122,-9.3905,9.0442,13.0381,7.0666,-0.2388,8,2.0571
2024-05-01T02:04:00,767801040.000000,-0.0183,-9.8218,8.6470,13.0858,7.0228,-0.1961,8,2.0726
2024-05-01T02:04:30,767801070.000000,-16.0088,4.1093,14.3887,21.9136,27.5270,-11.9258,7,0.0060
2024-05-01T02:05:00,767801100.000000,-16.8949,4.3036,13.9955,22.3569,27.1103,-12.0030,7,0.0069
2024-05-01T02:05:30,767801130.000000,-17.8980,4.6024,13.5560,22.9191,26.6461,-12.1133,7,0.0063
2024-05-01T02:06:00,767801160.000000,-18.9629,5.0546,13.1015,23.5964,26.1199,-12.2320,7,0.0062
2024-05-01T02:06:30,767801190.000000,-20.1609,5.6682,12.7140,24.4997,25.6589,-12.4070,7,0.0058
2024-05-01T02:07:00,767801220.000000,-22.4932,6.0260,10.5680,25.5722,23.2664,-12.5175,7,0.0071
2024-05-01T02:07:30,767801250.000000,-24.0387,7.1746,10.2597,27.1035,22.8355,-12.8239,8,0.0069
2024-05-01T02:11:00,767801460.000000,-33.8668,24.1817,29.2503,50.8655,37.9657,-18.9093,9,0.0062
2024-05-01T02:11:30,767801490.000000,-31.5815,26.3501,41.5245,58.4466,48.9995,-20.5705,9,0.0063
2024-05-01T02:12:00,767801520.000000,-29.0614,28.2614,56.0992,69.2127,62.1344,-22.6385,9,0.0062
2024-05-01T02:12:30,767801550.000000,-26.3604,29.8739,73.5977,83.6896,77.9738,-25.2524,9,0.0063
2024-05-01T02:13:00,767801580.000000,-23.0283,30.6438,93.8426,101.3695,96.2101,-28.1930,9,0.0062
2024-05-01T02:13:30,767801610.000000,-19.1192,30.7500,119.0607,124.4450,119.0829,-31.9827,9,0.0062
2024-05-01T02:14:00,767801640.000000,-14.2768,29.7666,150.9728,154.5401,148.2021,-36.8662,9,0.0063
2024-05-01T02:14:30,767801670.000000,-7.8109,27.1247,194.5964,196.6329,188.3904,-43.7127,9,0.0063
2024-05-01T02:15:00,767801700.000000,1.0135,21.2233,257.3874,258.2629,246.6926,-53.8329,9,0.0063
2024-05-01T02:15:30,767801730.000000,11.3341,3.7769,352.6942,352.8965,335.7699,-69.3202,9,0.0063
2024-05-01T02:16:00,767801760.000000,-20.5156,-9.9624,514.9674,515.4722,488.3547,-95.8994,9,0.0062
2024-05-01T02:16:30,767801790.000000,-71.9594,26.7013,860.4373,863.8538,814.9190,-152.9431,9,0.0059
2024-05-01T02:17:00,767801820.000000,-240.8675,169.2133,2171.4387,2191.3002,2058.8240,-370.8081,9,0.0065
2024-05-01T02:17:30,767801850.000000,761.3288,-700.3752,-5715.9447,5808.8011,-5437.5044,943.3895,9,0.0061
2024-05-01T02:18:00,767801880.000000,202.8153,-220.7918,-1329.8543,1363.2298,-1271.9028,213.3181,10,0.0060
2024-05-01T02:18:30,767801910.000000,132.3120,-162.9641,-779.8050,807.5640,-751.3415,122.2210,11,0.0064
2024-05-01T02:19:00,767801940.000000,104.1309,-141.5470,-562.2653,589.0849,-546.7927,86.5378,11,0.0064
2024-05-01T02:20:00,767802000.000000,74.0205,-109.4205,-318.8268,345.1122,-316.9856,45.5714,11,0.0054
2024-05-01T03:04:30,767804670.000000,-18.4633,8.8637,15.4504,25.6549,-4.6967,1.4488,11,0.0027
2024-05-01T03:05:00,767804700.000000,-18.8658,7.7348,15.8841,25.8466,-4.5756,1.3880,11,0.0028
2024-05-01T03:05:30,767804730.000000,-19.1303,7.1344,15.0754,25.3798,-5.6577,1.5638,11,0.0025
2024-05-01T03:06:00,767804760.000000,-19.3522,6.5342,14.9752,25.3270,-6.0735,1.6108,11,0.0030
2024-05-01T03:45:30,767807130.000000,25.5931,64.9874,209.9656,221.2779,241.1856,-55.2555,9,0.0050
2024-05-01T03:46:00,767807160.000000,24.8009,55.9822,206.8726,215.7437,234.2513,-53.4144,8,0.0051
2024-05-01T03:46:30,767807190.000000,24.2642,47.6010,205.3343,212.1716,229.5518,-52.0853,8,0.0050
2024-05-01T03:47:00,767807220.000000,23.6904,39.4533,203.8325,208.9629,225.3219,-50.9089,9,0.0048
2024-05-01T03:47:30,767807250.000000,22.9343,31.2136,201.1653,204.8603,220.2558,-49.6013,9,0.0048
2024-05-01T03:48:00,767807280.000000,22.1481,23.0889,198.3889,200.9523,215.5792,-48.4271,9,0.0049
2024-05-01T03:48:30,767807310.000000,21.2147,14.8421,195.5595,197.2660,211.0891,-47.3004,9,0.0049
2024-05-01T03:49:00,767807340.000000,19.9522,6.1371,193.2497,194.3739,207.5363,-46.4261,9,0.0049
2024-05-01T03:49:30,767807370.000000,16.7294,-4.7739,190.3604,191.1537,203.7801,-45.5639,9,0.0049
2024-05-01T03:50:00,767807400.000000,-4.8624,-15.9612,189.5094,190.2425,202.6333,-45.2595,9,0.0048
2024-05-01T03:50:30,767807430.000000,-18.3519,1.0757,187.7525,188.6504,200.7649,-44.8465,9,0.0049
2024-05-01T03:51:00,767807460.000000,-18.7272,11.3655,185.3860,186.6758,198.5231,-44.3889,9,0.0048
2024-05-01T03:51:30,767807490.000000,-18.2369,19.2840,182.9945,184.9092,196.5662,-44.0050,10,0.0048
2024-05-01T03:52:00,767807520.000000,-17.6591,26.4643,181.2685,184.0394,195.7017,-43.9137,10,0.0048
2024-05-01T03:52:30,767807550.000000,-17.0452,33.3432,179.7154,183.5754,195.2936,-43.9412,10,0.0049
2024-05-01T03:53:00,767807580.000000,-16.3044,39.8616,177.1020,182.2632,194.0255,-43.7992,10,0.0047
2024-05-01T03:53:30,767807610.000000,-15.6244,46.2398,174.6417,181.3339,193.1669,-43.7409,10,0.0047
2024-05-01T03:54:00,767807640.000000,-13.7501,57.4832,187.0374,196.1539,209.8975,-48.6788,10,0.0049
2024-05-01T03:55:00,767807700.000000,-10.5549,80.2290,204.6234,220.0428,237.3009,-56.8126,10,0.0056
2024-05-01T03:55:30,767807730.000000,-8.9040,90.9634,208.8877,228.0081,246.6897,-59.7995,10,0.0061
2024-05-01T04:00:00,767808000.000000,-26.9088,26.9533,36.5348,52.7765,45.5730,-1.7966,8,0.0063
